Date,IUC
9/5/2015,273000
9/12/2015,264000
9/19/2015,269000
9/26/2015,272000
10/3/2015,267000
10/10/2015,265000
10/17/2015,264000
10/24/2015,264000
10/31/2015,275000
11/7/2015,276000
11/14/2015,272000
11/21/2015,261000
11/28/2015,265000
12/5/2015,280000
12/12/2015,268000
12/19/2015,260000
12/26/2015,276000
1/2/2016,273000
1/9/2016,284000
1/16/2016,290000
1/23/2016,269000
1/30/2016,281000
2/6/2016,265000
2/13/2016,263000
2/20/2016,272000
2/27/2016,269000
3/5/2016,257000
3/12/2016,263000
3/19/2016,264000
3/26/2016,273000
4/2/2016,272000
4/9/2016,263000
4/16/2016,255000
4/23/2016,259000
4/30/2016,277000
5/7/2016,290000
5/14/2016,279000
5/21/2016,268000
5/28/2016,264000
6/4/2016,265000
6/11/2016,273000
6/18/2016,261000
6/25/2016,262000
7/2/2016,256000
7/9/2016,257000
7/16/2016,260000
7/23/2016,264000
7/30/2016,266000
8/6/2016,266000
8/13/2016,265000
8/20/2016,265000
8/27/2016,262000
9/3/2016,257000
9/10/2016,253000
9/17/2016,252000
9/24/2016,247000
10/1/2016,246000
10/8/2016,251000
10/15/2016,264000
10/22/2016,257000
10/29/2016,265000
11/5/2016,251000
11/12/2016,232000
11/19/2016,248000
11/26/2016,260000
12/3/2016,252000
12/10/2016,251000
12/17/2016,262000
12/24/2016,254000
12/31/2016,236000
1/7/2017,244000
1/14/2017,246000
1/21/2017,256000
1/28/2017,241000
2/4/2017,236000
2/11/2017,242000
2/18/2017,247000
2/25/2017,232000
3/4/2017,246000
3/11/2017,244000
3/18/2017,255000
3/25/2017,256000
4/1/2017,236000
4/8/2017,237000
4/15/2017,244000
4/22/2017,251000
4/29/2017,241000
5/6/2017,237000
5/13/2017,237000
5/20/2017,234000
5/27/2017,251000
6/3/2017,244000
6/10/2017,238000
6/17/2017,243000
6/24/2017,237000
7/1/2017,248000
7/8/2017,248000
7/15/2017,241000
7/22/2017,245000
7/29/2017,242000
8/5/2017,246000
8/12/2017,236000
8/19/2017,241000
8/26/2017,239000
9/2/2017,299000
9/9/2017,275000
9/16/2017,260000
9/23/2017,262000
9/30/2017,255000
10/7/2017,246000
10/14/2017,232000
10/21/2017,236000
10/28/2017,235000
11/4/2017,240000
11/11/2017,246000
11/18/2017,238000
11/25/2017,237000
12/2/2017,235000
12/9/2017,226000
12/16/2017,242000
12/23/2017,242000
12/30/2017,243000
1/6/2018,251000
1/13/2018,229000
1/20/2018,237000
1/27/2018,221000
2/3/2018,221000
2/10/2018,224000
2/17/2018,220000
2/24/2018,215000
3/3/2018,226000
3/10/2018,223000
3/17/2018,224000
3/24/2018,220000
3/31/2018,237000
4/7/2018,234000
4/14/2018,235000
4/21/2018,207000
4/28/2018,212000
5/5/2018,210000
5/12/2018,224000
5/19/2018,230000
5/26/2018,221000
6/2/2018,221000
6/9/2018,218000
6/16/2018,220000
6/23/2018,220000
6/30/2018,228000
7/7/2018,215000
7/14/2018,212000
7/21/2018,220000
7/28/2018,218000
8/4/2018,218000
8/11/2018,213000
8/18/2018,216000
8/25/2018,214000
9/1/2018,210000
9/8/2018,211000
9/15/2018,213000
9/22/2018,212000
9/29/2018,217000
10/6/2018,213000
10/13/2018,213000
10/20/2018,219000
10/27/2018,217000
11/3/2018,217000
11/10/2018,218000
11/17/2018,222000
11/24/2018,232000
12/1/2018,232000
12/8/2018,203000
12/15/2018,216000
12/22/2018,219000
12/29/2018,228000
1/5/2019,220000
1/12/2019,216000
1/19/2019,209000
1/26/2019,236000
2/2/2019,230000
2/9/2019,228000
2/16/2019,218000
2/23/2019,224000
3/2/2019,220000
3/9/2019,224000
3/16/2019,219000
3/23/2019,215000
3/30/2019,211000
4/6/2019,203000
4/13/2019,203000
4/20/2019,226000
4/27/2019,230000
5/4/2019,225000
5/11/2019,217000
5/18/2019,213000
5/25/2019,218000
6/1/2019,220000
6/8/2019,220000
6/15/2019,219000
6/22/2019,224000
6/29/2019,222000
7/6/2019,211000
7/13/2019,217000
7/20/2019,211000
7/27/2019,216000
8/3/2019,214000
8/10/2019,218000
8/17/2019,215000
8/24/2019,215000
8/31/2019,219000
9/7/2019,208000
9/14/2019,211000
9/21/2019,215000
9/28/2019,218000
10/5/2019,212000
10/12/2019,218000
10/19/2019,213000
10/26/2019,217000
11/2/2019,212000
11/9/2019,222000
11/16/2019,223000
11/23/2019,211000
11/30/2019,206000
12/7/2019,237000
12/14/2019,229000
12/21/2019,218000
12/28/2019,220000
1/4/2020,212000
1/11/2020,207000
1/18/2020,220000
1/25/2020,212000
2/1/2020,201000
2/8/2020,204000
2/15/2020,215000
2/22/2020,220000
2/29/2020,217000
3/7/2020,211000
3/14/2020,282000
3/21/2020,3307000
3/28/2020,6867000
4/4/2020,6615000
4/11/2020,5237000
4/18/2020,4442000
4/25/2020,3867000
5/2/2020,3176000
5/9/2020,2687000
5/16/2020,2446000
5/23/2020,2123000
5/30/2020,1897000
6/6/2020,1566000
6/13/2020,1540000
6/20/2020,1482000
6/27/2020,1408000
7/4/2020,1310000
7/11/2020,1308000
7/18/2020,1422000
7/25/2020,1435000
8/1/2020,1191000
8/8/2020,963000
