Date,IPI
9/1/2015,103.7768
10/1/2015,103.3976
11/1/2015,102.6866
12/1/2015,102.1014
1/1/2016,102.9525
2/1/2016,102.2225
3/1/2016,101.4155
4/1/2016,101.5167
5/1/2016,101.4298
6/1/2016,101.8747
7/1/2016,102.1325
8/1/2016,102.0407
9/1/2016,102.0477
10/1/2016,102.2485
11/1/2016,102.0507
12/1/2016,102.9281
1/1/2017,103.0366
2/1/2017,102.6479
3/1/2017,103.343
4/1/2017,104.2721
5/1/2017,104.4129
6/1/2017,104.5849
7/1/2017,104.5427
8/1/2017,104.0475
9/1/2017,104.0502
10/1/2017,105.6287
11/1/2017,106.193
12/1/2017,106.536
1/1/2018,106.2655
2/1/2018,106.6419
3/1/2018,107.2519
4/1/2018,108.2223
5/1/2018,107.3639
6/1/2018,108.1707
7/1/2018,108.652
8/1/2018,109.5246
9/1/2018,109.6749
10/1/2018,109.9165
11/1/2018,110.5067
12/1/2018,110.5516
1/1/2019,110.1185
2/1/2019,109.5631
3/1/2019,109.6811
4/1/2019,108.9888
5/1/2019,109.2264
6/1/2019,109.2774
7/1/2019,109.0852
8/1/2019,109.8543
9/1/2019,109.4725
10/1/2019,109.027
11/1/2019,110.0388
12/1/2019,109.6527
1/1/2020,109.1845
2/1/2020,109.2966
3/1/2020,104.6013
4/1/2020,91.2071
5/1/2020,92.0147
6/1/2020,97.2225
7/1/2020,100.1665
