Date,UNEMP
9/1/2015,5
10/1/2015,5
11/1/2015,5.1
12/1/2015,5
1/1/2016,4.9
2/1/2016,4.9
3/1/2016,5
4/1/2016,5
5/1/2016,4.8
6/1/2016,4.9
7/1/2016,4.8
8/1/2016,4.9
9/1/2016,5
10/1/2016,4.9
11/1/2016,4.7
12/1/2016,4.7
1/1/2017,4.7
2/1/2017,4.6
3/1/2017,4.4
4/1/2017,4.4
5/1/2017,4.4
6/1/2017,4.3
7/1/2017,4.3
8/1/2017,4.4
9/1/2017,4.2
10/1/2017,4.1
11/1/2017,4.2
12/1/2017,4.1
1/1/2018,4.1
2/1/2018,4.1
3/1/2018,4
4/1/2018,4
5/1/2018,3.8
6/1/2018,4
7/1/2018,3.8
8/1/2018,3.8
9/1/2018,3.7
10/1/2018,3.8
11/1/2018,3.7
12/1/2018,3.9
1/1/2019,4
2/1/2019,3.8
3/1/2019,3.8
4/1/2019,3.6
5/1/2019,3.6
6/1/2019,3.7
7/1/2019,3.7
8/1/2019,3.7
9/1/2019,3.5
10/1/2019,3.6
11/1/2019,3.5
12/1/2019,3.5
1/1/2020,3.6
2/1/2020,3.5
3/1/2020,4.4
4/1/2020,14.7
5/1/2020,13.3
6/1/2020,11.1
7/1/2020,10.2
